id	title	description	link	image_link	price	category
1	Marriot	good customer service	https://www.marriott.com/	https://www.marriott.com/123.jpg	500	hotel
2	Jet Blue	affordable comfort	https://www.jetblue.com/	https://www.jetblue.com/123.jpg	1200	airline
3	Bank of America	highest return rate	https://www.bankofamerica.com/	https://www.bankofamerica.com/123.jpg	10000	bank
4	Sheraton	best wifi	https://sheraton.marriott.com/	https://sheraton.marriott.com/123.jpg	400	hotel
5	Westin	great room service	https://westin.marriott.com/	https://westin.marriott.com/123.jpg	600	hotel
6	Qatar Airways	luxurious treatment	https://www.qatarairways.com/	https://www.qatarairways.com/123.jpg	3000	airline
7	The W	chic modern	https://w-hotels.marriott.com/	https://w-hotels.marriott.com/123.jpg	400	hotel
8	Capital One	number one in US	https://www.capitalone.com/	https://www.capitalone.com/123.jpg	20000	bank
9	Japan Airlines	luxury flight	https://www.jal.co.jp/en/	https://www.jal.co.jp/en/123.jpg	2000	airline
10	Wells Fargo	great exchange	https://www.wellsfargo.com/	https://www.wellsfargo.com/123.jpg	20000	bank
